NAMESPACE       NAME                                                              AGE
observability   dotnetgigs-slo-rules                                              6h56m
observability   kube-prometheus-stack-alertmanager.rules                          7h51m
observability   kube-prometheus-stack-config-reloaders                            7h51m
observability   kube-prometheus-stack-etcd                                        7h51m
observability   kube-prometheus-stack-general.rules                               7h51m
observability   kube-prometheus-stack-k8s.rules.container-cpu-usage-seconds-tot   7h51m
observability   kube-prometheus-stack-k8s.rules.container-memory-cache            7h51m
observability   kube-prometheus-stack-k8s.rules.container-memory-rss              7h51m
observability   kube-prometheus-stack-k8s.rules.container-memory-swap             7h51m
observability   kube-prometheus-stack-k8s.rules.container-memory-working-set-by   7h51m
observability   kube-prometheus-stack-k8s.rules.container-resource                7h51m
observability   kube-prometheus-stack-k8s.rules.pod-owner                         7h51m
observability   kube-prometheus-stack-kube-apiserver-availability.rules           7h51m
observability   kube-prometheus-stack-kube-apiserver-burnrate.rules               7h51m
observability   kube-prometheus-stack-kube-apiserver-histogram.rules              7h51m
observability   kube-prometheus-stack-kube-apiserver-slos                         7h51m
observability   kube-prometheus-stack-kube-prometheus-general.rules               7h51m
observability   kube-prometheus-stack-kube-prometheus-node-recording.rules        7h51m
observability   kube-prometheus-stack-kube-scheduler.rules                        7h51m
observability   kube-prometheus-stack-kube-state-metrics                          7h51m
observability   kube-prometheus-stack-kubelet.rules                               7h51m
observability   kube-prometheus-stack-kubernetes-apps                             7h51m
observability   kube-prometheus-stack-kubernetes-resources                        7h51m
observability   kube-prometheus-stack-kubernetes-storage                          7h51m
observability   kube-prometheus-stack-kubernetes-system                           7h51m
observability   kube-prometheus-stack-kubernetes-system-apiserver                 7h51m
observability   kube-prometheus-stack-kubernetes-system-controller-manager        7h51m
observability   kube-prometheus-stack-kubernetes-system-kube-proxy                7h51m
observability   kube-prometheus-stack-kubernetes-system-kubelet                   7h51m
observability   kube-prometheus-stack-kubernetes-system-scheduler                 7h51m
observability   kube-prometheus-stack-node-exporter                               7h51m
observability   kube-prometheus-stack-node-exporter.rules                         7h51m
observability   kube-prometheus-stack-node-network                                7h51m
observability   kube-prometheus-stack-node.rules                                  7h51m
observability   kube-prometheus-stack-prometheus                                  7h51m
observability   kube-prometheus-stack-prometheus-operator                         7h51m
observability   m2cloud-golden-signals                                            7h38m
